2025-06-06 19:24:28 | Ether | 192.168.1.2 -> 192.168.1.1
2025-06-06 19:24:28 | Ether | 192.168.1.1 -> 192.168.1.2
2025-06-06 19:24:28 | Ether | 192.168.1.2 -> 192.168.1.1
2025-06-06 19:24:28 | Ether | 192.168.1.2 -> 192.168.1.1
2025-06-06 19:24:28 | Ether | 192.168.1.1 -> 192.168.1.2
2025-06-06 19:24:28 | Ether | 192.168.1.2 -> 192.168.1.1
2025-06-06 19:24:28 | Ether | 192.168.1.1 -> 192.168.1.2
2025-06-06 19:24:28 | Ether | 192.168.1.2 -> 192.168.1.1
2025-06-06 19:24:29 | Ether | 74.125.68.188 -> 192.168.1.2
2025-06-06 19:24:29 | Ether | 192.168.1.2 -> 74.125.68.188
2025-06-06 19:24:29 | Ether | 192.168.1.2 -> 149.154.167.99
2025-06-06 19:24:30 | Ether | 149.154.167.99 -> 192.168.1.2
2025-06-06 19:24:30 | Ether | 192.168.1.2 -> 149.154.167.99
2025-06-06 19:24:30 | Ether | 192.168.1.2 -> 13.67.9.5
2025-06-06 19:24:30 | Ether | 13.67.9.5 -> 192.168.1.2
2025-06-06 19:24:30 | Ether | 192.168.1.2 -> 91.108.56.103
2025-06-06 19:24:30 | Ether | 91.108.56.103 -> 192.168.1.2
2025-06-06 19:24:31 | Ether | 91.108.56.103 -> 192.168.1.2
2025-06-06 19:24:31 | Ether | 192.168.1.2 -> 91.108.56.103
2025-06-06 19:24:31 | Ether | 192.168.1.2 -> 91.108.56.103
2025-06-06 19:24:31 | Ether | 91.108.56.103 -> 192.168.1.2
2025-06-06 19:24:32 | Ether | 192.168.1.2 -> 20.50.201.195
2025-06-06 19:24:32 | Ether | 192.168.1.2 -> 52.175.141.53
2025-06-06 19:24:32 | Ether | 20.50.201.195 -> 192.168.1.2
2025-06-06 19:24:32 | Ether | 52.175.141.53 -> 192.168.1.2
2025-06-06 19:24:33 | Ether | 192.168.1.2 -> 52.175.141.53
2025-06-06 19:24:33 | Ether | 192.168.1.2 -> 149.154.167.99
2025-06-06 19:24:33 | Ether | 149.154.167.99 -> 192.168.1.2
2025-06-06 19:24:33 | Ether | 192.168.1.2 -> 149.154.167.99
2025-06-06 19:24:34 | Ether | 140.82.113.25 -> 192.168.1.2
2025-06-06 19:24:34 | Ether | 192.168.1.2 -> 140.82.113.25
2025-06-06 19:24:34 | Ether | 140.82.113.25 -> 192.168.1.2
2025-06-06 19:24:36 | Ether | 192.168.1.2 -> 149.154.167.99
2025-06-06 19:24:36 | Ether | 192.168.1.2 -> 108.159.15.9
2025-06-06 19:24:36 | Ether | 108.159.15.9 -> 192.168.1.2
2025-06-06 19:24:36 | Ether | 149.154.167.99 -> 192.168.1.2
2025-06-06 19:24:36 | Ether | 192.168.1.2 -> 149.154.167.99
2025-06-06 19:24:37 | Ether | 57.144.211.33 -> 192.168.1.2
2025-06-06 19:24:37 | Ether | 192.168.1.2 -> 57.144.211.33
2025-06-06 19:24:37 | Ether | 57.144.211.33 -> 192.168.1.2
2025-06-06 19:24:38 | Ether | 91.108.56.103 -> 192.168.1.2
2025-06-06 19:24:38 | Ether | 192.168.1.2 -> 91.108.56.103
2025-06-06 19:24:38 | Ether | 192.168.1.2 -> 91.108.56.103
2025-06-06 19:24:38 | Ether | 91.108.56.103 -> 192.168.1.2
2025-06-06 19:24:39 | Ether | 192.168.1.2 -> 149.154.167.99
2025-06-06 19:24:39 | Ether | 149.154.167.99 -> 192.168.1.2
2025-06-06 19:24:39 | Ether | 192.168.1.2 -> 149.154.167.99
2025-06-06 19:24:41 | Ether | 34.197.119.22 -> 192.168.1.2
2025-06-06 19:24:41 | Ether | 34.197.119.22 -> 192.168.1.2
2025-06-06 19:24:41 | Ether | 192.168.1.2 -> 34.197.119.22
2025-06-06 19:24:42 | Ether | 192.168.1.2 -> 149.154.167.99
2025-06-06 19:24:42 | Ether | 149.154.167.99 -> 192.168.1.2
2025-06-06 19:24:42 | Ether | 192.168.1.2 -> 149.154.167.99
2025-06-06 19:24:43 | Ether | 74.125.68.188 -> 192.168.1.2
2025-06-06 19:24:43 | Ether | 192.168.1.2 -> 74.125.68.188
2025-06-06 19:24:43 | Ether | 192.168.1.2 -> 57.144.211.33
2025-06-06 19:24:43 | Ether | 192.168.1.2 -> 57.144.211.33
2025-06-06 19:24:43 | Ether | 192.168.1.2 -> 74.125.68.188
2025-06-06 19:24:43 | Ether | 192.168.1.2 -> 57.144.211.33
2025-06-06 19:24:43 | Ether | 57.144.211.33 -> 192.168.1.2
2025-06-06 19:24:43 | Ether | 57.144.211.33 -> 192.168.1.2
2025-06-06 19:24:43 | Ether | 192.168.1.2 -> 74.125.68.188
2025-06-06 19:24:43 | Ether | 74.125.68.188 -> 192.168.1.2
2025-06-06 19:24:43 | Ether | 57.144.211.33 -> 192.168.1.2
2025-06-06 19:24:43 | Ether | 192.168.1.2 -> 57.144.211.33
2025-06-06 19:24:44 | Ether | 74.125.68.188 -> 192.168.1.2
2025-06-06 19:24:45 | Ether | 57.144.211.33 -> 192.168.1.2
2025-06-06 19:24:45 | Ether | 192.168.1.2 -> 57.144.211.33
2025-06-06 19:24:45 | Ether | 57.144.211.33 -> 192.168.1.2
2025-06-06 19:24:45 | Ether | 192.168.1.2 -> 149.154.167.99
2025-06-06 19:24:46 | Ether | 192.168.1.2 -> 149.154.167.99
2025-06-06 19:24:46 | Ether | 149.154.167.99 -> 192.168.1.2
2025-06-06 19:24:46 | Ether | 192.168.1.2 -> 149.154.167.99
2025-06-06 19:24:46 | Ether | 149.154.167.99 -> 192.168.1.2
2025-06-06 19:24:46 | Ether | 149.154.167.99 -> 192.168.1.2
2025-06-06 19:24:46 | Ether | 192.168.1.2 -> 149.154.167.99
2025-06-06 19:24:47 | Ether | 192.168.1.2 -> 20.50.80.214
2025-06-06 19:24:47 | Ether | 20.50.80.214 -> 192.168.1.2
2025-06-06 19:24:47 | Ether | 192.168.1.2 -> 20.50.80.214
2025-06-06 19:24:47 | Ether | 192.168.1.2 -> 20.50.80.214
2025-06-06 19:24:47 | Ether | 192.168.1.2 -> 13.67.9.5
2025-06-06 19:24:47 | Ether | 13.67.9.5 -> 192.168.1.2
2025-06-06 19:24:47 | Ether | 192.168.1.2 -> 13.67.9.5
2025-06-06 19:24:47 | Ether | 20.50.80.214 -> 192.168.1.2
2025-06-06 19:24:47 | Ether | 20.50.80.214 -> 192.168.1.2
2025-06-06 19:24:47 | Ether | 192.168.1.2 -> 20.50.80.214
2025-06-06 19:24:47 | Ether | 20.50.80.214 -> 192.168.1.2
2025-06-06 19:24:47 | Ether | 20.50.80.214 -> 192.168.1.2
2025-06-06 19:24:47 | Ether | 192.168.1.2 -> 20.50.80.214
2025-06-06 19:24:47 | Ether | 192.168.1.2 -> 20.50.80.214
2025-06-06 19:24:47 | Ether | 192.168.1.2 -> 142.251.220.5
2025-06-06 19:24:48 | Ether | 20.50.80.214 -> 192.168.1.2
2025-06-06 19:24:48 | Ether | 192.168.1.2 -> 20.50.80.214
2025-06-06 19:24:48 | Ether | 20.50.80.214 -> 192.168.1.2
2025-06-06 19:24:48 | Ether | 192.168.1.2 -> 20.50.80.214
2025-06-06 19:24:48 | Ether | 192.168.1.2 -> 20.50.80.214
2025-06-06 19:24:48 | Ether | 192.168.1.2 -> 20.50.80.214
2025-06-06 19:24:48 | Ether | 192.168.1.2 -> 20.50.80.214
